Variable;Valeur
GVL_Troubleshooting.LevageUnitaireM1.Inputs_100.Idx103_ContactorsReleased_DI;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Inputs_100.Idx104_BrakeApplied;TRUE
GVL_Troubleshooting.LevageUnitaireM1.Inputs_100.Idx105_ThermalOk_DI;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Demandes_200.Idx201_JoyRawPhysical_ANA;INT#0
GVL_Troubleshooting.LevageUnitaireM1.Demandes_200.Idx202_JoyScaledPhysical_Pct;REAL#0
GVL_Troubleshooting.LevageUnitaireM1.Demandes_200.Idx203_HmiManualCmd_BtnUp;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Demandes_200.Idx204_HmiManualCmd_BtnDown;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Demandes_200.Idx205_CycleAutoCmd_Pct;REAL#0
GVL_Troubleshooting.LevageUnitaireM1.Demandes_200.Idx206_ModeActive;E_Mode.DISABLE
GVL_Troubleshooting.LevageUnitaireM1.Demandes_200.Idx207_BypassOperatorComm;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Demandes_200.Idx208_ArbitratedSpeed_Pct;REAL#0
GVL_Troubleshooting.LevageUnitaireM1.Demandes_200.Idx209_ArbitratedDirection;INT#0
GVL_Troubleshooting.LevageUnitaireM1.Demandes_200.Idx210_CoupledUserRequestDirection;INT#0
GVL_Troubleshooting.LevageUnitaireM1.Demandes_200.Idx211_CoupledUserRequestActive;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx301_EmergencyChainClosed;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx302_SafeStopActive;TRUE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx303_PowerCutOffActive;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx304_TopSensorPhysical_DI;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx305_TopSensorBypassActive;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx306_AscentPermitEffective;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx307_SlackCablePhysical_DI;FALSE
GVL_Troubleshooting.LevageUnitaireM1.Safety_300.Idx308_SlackCableBypassActive;FALSE
