nom,tier,type,fichier,ligne,bloc,pou,declaration
Idx306_ErrorIdRaw,T1(brief),WORD,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_ChainBucket.st,39,STRUCT,,Idx306_ErrorIdRaw             : WORD;
Idx302_SyncFaultActive,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_ChainWinchSync.st,12,STRUCT,,Idx302_SyncFaultActive       : BOOL;
COD1_Alarms,T1(brief),UINT,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_HwWinch.st,21,STRUCT,,COD1_Alarms              : UINT;
COD1_Warnings,T1(brief),UINT,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_HwWinch.st,22,STRUCT,,COD1_Warnings            : UINT;
COD2_Alarms,T1(brief),UINT,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_HwWinch.st,27,STRUCT,,COD2_Alarms              : UINT;
COD2_Warnings,T1(brief),UINT,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_HwWinch.st,28,STRUCT,,COD2_Warnings            : UINT;
SyncContactorDiag,T1(brief),ST_SyncContactorDiag,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_OutputsInterPrg.st,37,STRUCT,,SyncContactorDiag          : ST_SyncContactorDiag;
Error,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_SafetyWinch.st,8,STRUCT,,Error             : BOOL;
ErrorId,T1(brief),WORD,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_SafetyWinch.st,9,STRUCT,,ErrorId           : WORD;
LatchedId,T2(elargi),WORD,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_SafetyWinch.st,10,STRUCT,,LatchedId         : WORD;
ThermalFault,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_SafetyWinch.st,15,STRUCT,,ThermalFault      : BOOL;
EncoderFault,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_SafetyWinch.st,16,STRUCT,,EncoderFault      : BOOL;
ErrorOperatorComm,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_SafetyWinch.st,28,STRUCT,,ErrorOperatorComm : BOOL;
ErrorEncoder,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_SafetyWinch.st,29,STRUCT,,ErrorEncoder      : BOOL;
ErrorPhaseRotation,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_SafetyWinch.st,30,STRUCT,,ErrorPhaseRotation: BOOL;
ErrorBrakeThermal,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_SafetyWinch.st,31,STRUCT,,ErrorBrakeThermal : BOOL;
ErrorMecaA,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_SafetyWinch.st,32,STRUCT,,ErrorMecaA        : BOOL;
ErrorMecaB,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_SafetyWinch.st,33,STRUCT,,ErrorMecaB        : BOOL;
ErrorMecaC,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_SafetyWinch.st,34,STRUCT,,ErrorMecaC        : BOOL;
ErrorMecaD,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_SafetyWinch.st,35,STRUCT,,ErrorMecaD        : BOOL;
ErrorMecaE,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_SafetyWinch.st,36,STRUCT,,ErrorMecaE        : BOOL;
ErrorOppositeDir,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_SafetyWinch.st,37,STRUCT,,ErrorOppositeDir  : BOOL;
ErrorNoMovement,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_SafetyWinch.st,38,STRUCT,,ErrorNoMovement   : BOOL;
ErrorOverspeed,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_SafetyWinch.st,39,STRUCT,,ErrorOverspeed    : BOOL;
FinalInterlockError,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_TraceWinch.st,33,STRUCT,,FinalInterlockError     : BOOL;
BlockReason,T2(elargi),E_WinchTraceBlockReason,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_TraceWinch.st,37,STRUCT,,BlockReason             : E_WinchTraceBlockReason;
BlockReasonTimestamp,T2(elargi),UDINT,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_TraceWinch.st,38,STRUCT,,BlockReasonTimestamp    : UDINT;
WinchSyncError,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_WinchInterPrg.st,32,STRUCT,,WinchSyncError               : BOOL;
BucketError,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_WinchInterPrg.st,41,STRUCT,,BucketError                  : BOOL;
BothBlockReason,T2(elargi),E_WinchTraceBlockReason,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_WinchInterPrg.st,75,STRUCT,,BothBlockReason              : E_WinchTraceBlockReason;
SpeedMonitorError,T1(brief),BOOL,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_WinchState.st,15,STRUCT,,SpeedMonitorError       : BOOL;
SpeedMonitorErrorId,T1(brief),WORD,CODE/J_SUPERVISION/_TYPES/1_TREUILS_BENNE/ST_WinchState.st,16,STRUCT,,SpeedMonitorErrorId     : WORD;
