Variable;Valeur
GVL_IHM.M1TreuilRetenue.State.ContactorsCheck.StuckClosed;FALSE
GVL_IHM.M1TreuilRetenue.State.ContactorsCheck.StuckOpen;FALSE
GVL_IHM.M1TreuilRetenue.State.BrakeContactorCheck.Command;FALSE
GVL_IHM.M1TreuilRetenue.State.BrakeContactorCheck.Feedback;FALSE
GVL_IHM.M1TreuilRetenue.State.BrakeContactorCheck.StuckClosed;FALSE
GVL_IHM.M1TreuilRetenue.State.BrakeContactorCheck.StuckOpen;FALSE
GVL_IHM.M1TreuilRetenue.State.InhibitActive;FALSE
GVL_IHM.M1TreuilRetenue.State.BottomLimitActiveM;REAL#-15
GVL_IHM.M1TreuilRetenue.State.InTopSlowdownZone;FALSE
GVL_IHM.M1TreuilRetenue.State.InBottomSlowdownZone;FALSE
GVL_IHM.M1TreuilRetenue.State.CommandedDirection;INT#0
GVL_IHM.M1TreuilRetenue.State.DirectionChangeDelayElapsed;TIME#0ms
GVL_IHM.M1TreuilRetenue.State.DirectionChangePending;FALSE
GVL_IHM.M1TreuilRetenue.Cfg.CfgTopSensorPos_M;REAL#8.5
GVL_IHM.M1TreuilRetenue.Cfg.CfgHomingTarget_M;REAL#0
GVL_IHM.M1TreuilRetenue.Cfg.CfgRampAccelRate;REAL#10
GVL_IHM.M1TreuilRetenue.Cfg.CfgRampDecelNormalRate;REAL#150
GVL_IHM.M1TreuilRetenue.Cfg.CfgRampDecelFastRate;REAL#400
GVL_IHM.M1TreuilRetenue.Cfg.CfgCableLimitDescent_M;REAL#-20
GVL_IHM.M1TreuilRetenue.Cfg.CfgCableLimitAscent_M;REAL#6.75
GVL_IHM.M1TreuilRetenue.Cfg.Initialized;TRUE
GVL_IHM.M1TreuilRetenue.Safety.Error;FALSE
GVL_IHM.M1TreuilRetenue.Safety.ErrorId;WORD#0
GVL_IHM.M1TreuilRetenue.Safety.SafeStop;TRUE
GVL_IHM.M1TreuilRetenue.Safety.DescendPermit;FALSE
GVL_IHM.M1TreuilRetenue.Safety.AscentPermit;FALSE
GVL_IHM.M1TreuilRetenue.Safety.SlackCable;FALSE
GVL_IHM.M1TreuilRetenue.Safety.ThermalFault;TRUE
GVL_IHM.M1TreuilRetenue.Safety.EncoderFault;FALSE
GVL_IHM.M1TreuilRetenue.Safety.BypassActive;FALSE
GVL_IHM.M1TreuilRetenue.Safety.CableLimitDescent;FALSE
GVL_IHM.M1TreuilRetenue.Safety.CableLimitAscent;FALSE
GVL_IHM.M1TreuilRetenue.Safety.MecaADrift_M;REAL#0
GVL_IHM.M1TreuilRetenue.Safety.MecaCDrift_M;REAL#0
GVL_IHM.M1TreuilRetenue.Safety.MecaBElapsedTime;TIME#0ms
GVL_IHM.M1TreuilRetenue.Safety.PowerCutOff;FALSE
GVL_IHM.M1TreuilRetenue.Safety.BlockedBySafety;TRUE
GVL_IHM.M1TreuilRetenue.Safety.PowerCutOffSafety;TRUE
GVL_IHM.M1TreuilRetenue.Safety.SafeStopSafety;TRUE
GVL_IHM.M1TreuilRetenue.Safety.ErrorOperatorComm;FALSE
GVL_IHM.M1TreuilRetenue.Safety.ErrorEncoder;FALSE
GVL_IHM.M1TreuilRetenue.Safety.ErrorPhaseRotation;FALSE
GVL_IHM.M1TreuilRetenue.Safety.ErrorBrakeThermal;FALSE
GVL_IHM.M1TreuilRetenue.Safety.ErrorMecaA;FALSE
GVL_IHM.M1TreuilRetenue.Safety.ErrorMecaB;FALSE
GVL_IHM.M1TreuilRetenue.Safety.ErrorMecaC;FALSE
GVL_IHM.M1TreuilRetenue.Safety.ErrorMecaD;FALSE
GVL_IHM.M1TreuilRetenue.Safety.ErrorMecaE;FALSE
GVL_IHM.M1TreuilRetenue.Safety.ErrorOppositeDir;FALSE
GVL_IHM.M1TreuilRetenue.Safety.ErrorNoMovement;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.OperatorComm;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.EncoderFault;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.ContactorFeedback;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.PhaseRotation;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.BrakeThermal;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.MotorThermal;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.TopLimitSwitch;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.TopLimitSoftware;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.CableLimitSwitch;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.LimitLegal;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.MecaA;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.MecaB;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.MecaC;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.MecaD;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.MecaE;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.Safety;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.Process;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.Global;FALSE
GVL_IHM.M1TreuilRetenue.Bypass.Initialized;TRUE
GVL_IHM.M2TreuilBenne.Cmd.BtnUp;FALSE
GVL_IHM.M2TreuilBenne.Cmd.BtnDown;FALSE
GVL_IHM.M2TreuilBenne.Cmd.BtnReset;FALSE
GVL_IHM.M2TreuilBenne.Cmd.BtnHome;FALSE
GVL_IHM.M2TreuilBenne.Cmd.BtnConfirmCoherence;FALSE
GVL_IHM.M2TreuilBenne.Cmd.BtnInhibit;FALSE
GVL_IHM.M2TreuilBenne.Cmd.BtnHomingAtZero;FALSE
GVL_IHM.M2TreuilBenne.State.Position_M;REAL#0
GVL_IHM.M2TreuilBenne.State.MeasuredSpeed_Mps;REAL#0
GVL_IHM.M2TreuilBenne.State.SpeedDelta_Mps;REAL#0
GVL_IHM.M2TreuilBenne.State.SpeedVariationDetected;FALSE
GVL_IHM.M2TreuilBenne.State.SpeedVariationConfirmed;FALSE
GVL_IHM.M2TreuilBenne.State.SpeedStable;FALSE
GVL_IHM.M2TreuilBenne.State.SpeedMonitorError;FALSE
GVL_IHM.M2TreuilBenne.State.SpeedMonitorErrorId;WORD#0
GVL_IHM.M2TreuilBenne.State.EstimatedLoadPct;REAL#0
GVL_IHM.M2TreuilBenne.State.LoadEstimateConfigured;FALSE
GVL_IHM.M2TreuilBenne.State.SpeedGuardLimited;FALSE
GVL_IHM.M2TreuilBenne.State.SpeedRef_Pct;REAL#0
GVL_IHM.M2TreuilBenne.State.StepNumber;INT#0
GVL_IHM.M2TreuilBenne.State.FBState;E_State.DISABLED
GVL_IHM.M2TreuilBenne.State.Ready;FALSE
GVL_IHM.M2TreuilBenne.State.Busy;FALSE
GVL_IHM.M2TreuilBenne.State.Done;FALSE
GVL_IHM.M2TreuilBenne.State.Error;FALSE
GVL_IHM.M2TreuilBenne.State.ErrorId;WORD#0
GVL_IHM.M2TreuilBenne.State.RelayFwd;FALSE
GVL_IHM.M2TreuilBenne.State.RelayRev;FALSE
GVL_IHM.M2TreuilBenne.State.Contactor1;FALSE
GVL_IHM.M2TreuilBenne.State.Contactor2;FALSE
GVL_IHM.M2TreuilBenne.State.Contactor3;FALSE
GVL_IHM.M2TreuilBenne.State.Contactor4;FALSE
GVL_IHM.M2TreuilBenne.State.BrakeCmd;FALSE
GVL_IHM.M2TreuilBenne.State.FinalInterlockState;E_WinchFinalInterlockState.DISABLED
GVL_IHM.M2TreuilBenne.State.FinalInterlockReason;E_WinchFinalInterlockReason.NONE
GVL_IHM.M2TreuilBenne.State.FinalInterlockError;FALSE
GVL_IHM.M2TreuilBenne.State.FinalInterlockErrorId;WORD#0
GVL_IHM.M2TreuilBenne.State.FinalRestartInhibit;FALSE
GVL_IHM.M2TreuilBenne.State.BrakeCommandOpenConfirmed;FALSE
GVL_IHM.M2TreuilBenne.State.FinalAuthorizedStep;INT#0
GVL_IHM.M2TreuilBenne.State.FinalBrakeTimeoutElapsed;TIME#0ms
GVL_IHM.M2TreuilBenne.State.FinalRestartDelayElapsed;TIME#0ms
GVL_IHM.M2TreuilBenne.State.FinalStepDelayElapsed;TIME#0ms
GVL_IHM.M2TreuilBenne.State.Encoder.RawPos;UDINT#0
GVL_IHM.M2TreuilBenne.State.Encoder.Alarms;UINT#0
GVL_IHM.M2TreuilBenne.State.Encoder.Warnings;UINT#0
GVL_IHM.M2TreuilBenne.State.Encoder.SlaveOperational;FALSE
GVL_IHM.M2TreuilBenne.State.Encoder.PresetTriggerCmd;WORD#0
GVL_IHM.M2TreuilBenne.State.Encoder.PresetValueOut;UDINT#0
GVL_IHM.M2TreuilBenne.State.Encoder.Error;TRUE
GVL_IHM.M2TreuilBenne.State.Encoder.ErrorId;WORD#1
GVL_IHM.M2TreuilBenne.State.Encoder.Homed;FALSE
GVL_IHM.M2TreuilBenne.State.Encoder.HomingBusy;FALSE
GVL_IHM.M2TreuilBenne.State.Encoder.HomingDone;FALSE
GVL_IHM.M2TreuilBenne.State.Encoder.HomingError;FALSE
GVL_IHM.M2TreuilBenne.State.Encoder.HomingErrorId;WORD#0
GVL_IHM.M2TreuilBenne.State.Encoder.HomingState;E_State.INIT
GVL_IHM.M2TreuilBenne.State.Encoder.HomingStateAtError;E_State.DISABLED
GVL_IHM.M2TreuilBenne.State.Encoder.HomingSuspect;FALSE
GVL_IHM.M2TreuilBenne.State.Encoder.HomingRefRaw;UDINT#0
GVL_IHM.M2TreuilBenne.State.ContactorsCheck.Command;FALSE
GVL_IHM.M2TreuilBenne.State.ContactorsCheck.Feedback;FALSE
GVL_IHM.M2TreuilBenne.State.ContactorsCheck.StuckClosed;FALSE
GVL_IHM.M2TreuilBenne.State.ContactorsCheck.StuckOpen;FALSE
GVL_IHM.M2TreuilBenne.State.BrakeContactorCheck.Command;FALSE
GVL_IHM.M2TreuilBenne.State.BrakeContactorCheck.Feedback;FALSE
GVL_IHM.M2TreuilBenne.State.BrakeContactorCheck.StuckClosed;FALSE
GVL_IHM.M2TreuilBenne.State.BrakeContactorCheck.StuckOpen;FALSE
GVL_IHM.M2TreuilBenne.State.InhibitActive;FALSE
GVL_IHM.M2TreuilBenne.State.BottomLimitActiveM;REAL#-15
GVL_IHM.M2TreuilBenne.State.InTopSlowdownZone;FALSE
GVL_IHM.M2TreuilBenne.State.InBottomSlowdownZone;FALSE
GVL_IHM.M2TreuilBenne.State.CommandedDirection;INT#0
GVL_IHM.M2TreuilBenne.State.DirectionChangeDelayElapsed;TIME#0ms
GVL_IHM.M2TreuilBenne.State.DirectionChangePending;FALSE
GVL_IHM.M2TreuilBenne.Cfg.CfgTopSensorPos_M;REAL#8.5
GVL_IHM.M2TreuilBenne.Cfg.CfgHomingTarget_M;REAL#0
GVL_IHM.M2TreuilBenne.Cfg.CfgRampAccelRate;REAL#10
GVL_IHM.M2TreuilBenne.Cfg.CfgRampDecelNormalRate;REAL#150
GVL_IHM.M2TreuilBenne.Cfg.CfgRampDecelFastRate;REAL#400
GVL_IHM.M2TreuilBenne.Cfg.CfgCableLimitDescent_M;REAL#-20
GVL_IHM.M2TreuilBenne.Cfg.CfgCableLimitAscent_M;REAL#6.75
GVL_IHM.M2TreuilBenne.Cfg.Initialized;TRUE
GVL_IHM.M2TreuilBenne.Safety.Error;FALSE
GVL_IHM.M2TreuilBenne.Safety.ErrorId;WORD#0
GVL_IHM.M2TreuilBenne.Safety.SafeStop;TRUE
GVL_IHM.M2TreuilBenne.Safety.DescendPermit;FALSE
GVL_IHM.M2TreuilBenne.Safety.AscentPermit;FALSE
GVL_IHM.M2TreuilBenne.Safety.SlackCable;TRUE
GVL_IHM.M2TreuilBenne.Safety.ThermalFault;TRUE
GVL_IHM.M2TreuilBenne.Safety.EncoderFault;FALSE
GVL_IHM.M2TreuilBenne.Safety.BypassActive;FALSE
GVL_IHM.M2TreuilBenne.Safety.CableLimitDescent;FALSE
GVL_IHM.M2TreuilBenne.Safety.CableLimitAscent;FALSE
GVL_IHM.M2TreuilBenne.Safety.MecaADrift_M;REAL#0
GVL_IHM.M2TreuilBenne.Safety.MecaCDrift_M;REAL#0
GVL_IHM.M2TreuilBenne.Safety.MecaBElapsedTime;TIME#0ms
GVL_IHM.M2TreuilBenne.Safety.PowerCutOff;FALSE
GVL_IHM.M2TreuilBenne.Safety.BlockedBySafety;TRUE
GVL_IHM.M2TreuilBenne.Safety.PowerCutOffSafety;TRUE
GVL_IHM.M2TreuilBenne.Safety.SafeStopSafety;TRUE
GVL_IHM.M2TreuilBenne.Safety.ErrorOperatorComm;FALSE
GVL_IHM.M2TreuilBenne.Safety.ErrorEncoder;FALSE
GVL_IHM.M2TreuilBenne.Safety.ErrorPhaseRotation;FALSE
GVL_IHM.M2TreuilBenne.Safety.ErrorBrakeThermal;FALSE
GVL_IHM.M2TreuilBenne.Safety.ErrorMecaA;FALSE
GVL_IHM.M2TreuilBenne.Safety.ErrorMecaB;FALSE
GVL_IHM.M2TreuilBenne.Safety.ErrorMecaC;FALSE
GVL_IHM.M2TreuilBenne.Safety.ErrorMecaD;FALSE
GVL_IHM.M2TreuilBenne.Safety.ErrorMecaE;FALSE
GVL_IHM.M2TreuilBenne.Safety.ErrorOppositeDir;FALSE
GVL_IHM.M2TreuilBenne.Safety.ErrorNoMovement;FALSE
GVL_IHM.M2TreuilBenne.Bypass.OperatorComm;FALSE
