//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name
//Important: change only first, third or fourth column in Excel or add variable name before first
;Input;;Universal digital input;%IB0;Local_Digital_IO
;Bit6;;0x3101 Command;%QX12.6;AC600_ECAT_Drive
;Bit7;;0x3101 Command;%QX12.7;AC600_ECAT_Drive
;Bit8;;0x3101 Command;%QX13.0;AC600_ECAT_Drive
;Bit9;;0x3101 Command;%QX13.1;AC600_ECAT_Drive
;Bit10;;0x3101 Command;%QX13.2;AC600_ECAT_Drive
;Bit11;;0x3101 Command;%QX13.3;AC600_ECAT_Drive
;Bit12;;0x3101 Command;%QX13.4;AC600_ECAT_Drive
;Bit13;;0x3101 Command;%QX13.5;AC600_ECAT_Drive
;Bit14;;0x3101 Command;%QX13.6;AC600_ECAT_Drive
;Bit15;;0x3101 Command;%QX13.7;AC600_ECAT_Drive
M3_SetpointFrequencyHz;0x3100 Frequency;;0x3100 Frequency;%QW7;AC600_ECAT_Drive
;Bit0@1;;0x3100 Frequency;%QX14.0;AC600_ECAT_Drive
;Bit1@1;;0x3100 Frequency;%QX14.1;AC600_ECAT_Drive
;Bit2@1;;0x3100 Frequency;%QX14.2;AC600_ECAT_Drive
;Bit3@1;;0x3100 Frequency;%QX14.3;AC600_ECAT_Drive
;Bit4@1;;0x3100 Frequency;%QX14.4;AC600_ECAT_Drive
;Bit5@1;;0x3100 Frequency;%QX14.5;AC600_ECAT_Drive
;Bit6@1;;0x3100 Frequency;%QX14.6;AC600_ECAT_Drive
;Bit7@1;;0x3100 Frequency;%QX14.7;AC600_ECAT_Drive
;Bit8@1;;0x3100 Frequency;%QX15.0;AC600_ECAT_Drive
;Bit9@1;;0x3100 Frequency;%QX15.1;AC600_ECAT_Drive
;Bit10@1;;0x3100 Frequency;%QX15.2;AC600_ECAT_Drive
;Bit11@1;;0x3100 Frequency;%QX15.3;AC600_ECAT_Drive
;Bit12@1;;0x3100 Frequency;%QX15.4;AC600_ECAT_Drive
;Bit13@1;;0x3100 Frequency;%QX15.5;AC600_ECAT_Drive
;Bit14@1;;0x3100 Frequency;%QX15.6;AC600_ECAT_Drive
;Bit15@1;;0x3100 Frequency;%QX15.7;AC600_ECAT_Drive
M3_StatusWord;0x3102 Drive Status;;0x3102 Drive Status;%IW8;AC600_ECAT_Drive
;Bit0@2;;0x3102 Drive Status;%IX16.0;AC600_ECAT_Drive
;Bit1@2;;0x3102 Drive Status;%IX16.1;AC600_ECAT_Drive
;Bit2@2;;0x3102 Drive Status;%IX16.2;AC600_ECAT_Drive
;Bit3@2;;0x3102 Drive Status;%IX16.3;AC600_ECAT_Drive
;Bit4@2;;0x3102 Drive Status;%IX16.4;AC600_ECAT_Drive
;Bit5@2;;0x3102 Drive Status;%IX16.5;AC600_ECAT_Drive
;Bit6@2;;0x3102 Drive Status;%IX16.6;AC600_ECAT_Drive
;Bit7@2;;0x3102 Drive Status;%IX16.7;AC600_ECAT_Drive
;Bit8@2;;0x3102 Drive Status;%IX17.0;AC600_ECAT_Drive
;Bit9@2;;0x3102 Drive Status;%IX17.1;AC600_ECAT_Drive
;Bit10@2;;0x3102 Drive Status;%IX17.2;AC600_ECAT_Drive
;Bit11@2;;0x3102 Drive Status;%IX17.3;AC600_ECAT_Drive
;Bit12@2;;0x3102 Drive Status;%IX17.4;AC600_ECAT_Drive
;Bit13@2;;0x3102 Drive Status;%IX17.5;AC600_ECAT_Drive
;Bit14@2;;0x3102 Drive Status;%IX17.6;AC600_ECAT_Drive
;Bit15@2;;0x3102 Drive Status;%IX17.7;AC600_ECAT_Drive
M3_ActualFrequencyHz;C00.01 Output Frequency;;C00.01 Output Frequency;%IW9;AC600_ECAT_Drive
;Bit0@3;;C00.01 Output Frequency;%IX18.0;AC600_ECAT_Drive
