Timestamp_ms;M3Translation.State.AtTremie;M3Translation.State.AtP2;M3Translation.State.AtPV;M3Translation.State.AtP1;M3Translation.State.AtMaintenance;IoHw.In.Hardware.Translation.M3_PosTremie_DI;IoHw.In.Hardware.Translation.M3_PosPV_DI;IoHw.In.Hardware.Translation.M3_PosPVP2_DI;IoHw.In.Hardware.Translation.M3_PosP1_DI;M3_BrakeIsOpen_DI;PRG_02_Acquisition.HwIn.Translation.M3_ActualFrequencyHz;M3_StatusWord;M3_SetpointFrequencyHz;M3_CommandWord;M3_ThermalOK_DI;M3Translation.Safety.Error;M3Translation.Safety.ErrorId;M3Translation.State.Error;M3Translation.State.ErrorId;M3Translation.State.EstimatedPosM3_M;JOY1Joystick.State.AxisCmdX.Deflection;JOY1Joystick.State.AxisCmdY.Deflection
42298;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42318;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42329;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42340;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42350;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42361;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42372;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42383;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42394;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42404;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42415;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42426;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42437;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42448;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42459;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42469;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42479;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42490;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42500;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42511;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42521;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42532;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42542;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42553;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42564;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42574;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42585;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42595;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42605;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42615;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42625;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42636;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42646;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42657;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42668;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42678;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42689;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42699;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42710;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42719;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42729;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42740;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
42751;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.022706985473633;-100;0
