Timestamp_ms;PRG_03_Modes_Cycle.instCycleSemiAuto.CycleStep;PRG_03_Modes_Cycle.instCycleSemiAuto.Lifecycle.Busy;PRG_03_Modes_Cycle.instCycleSemiAuto.WaitingForOperator;PRG_03_Modes_Cycle.instCycleSemiAuto.WaitingForProcess;PRG_03_Modes_Cycle.instCycleSemiAuto.Fault.Error;PRG_02_Acquisition.Data.Joystick.DeadmanArmed;PRG_02_Acquisition.Data.Joystick.AtNeutralXY;PRG_02_Acquisition.Data.Joystick.AxisY.Deflection;PRG_02_Acquisition.Data.EncoderM1.Measurement.CablePosM;PRG_02_Acquisition.Data.EncoderM2.Measurement.CablePosM;M1TreuilRetenue.State.StepNumber;M2TreuilBenne.State.StepNumber;M1_M2_KoboldBottomTouch_DI;M1_M2_KoboldMeasureEnable_RQ;M3Translation.State.AtP1;M3Translation.State.AtTremie;M3Translation.State.EstimatedPosM3_M;PRG_04_Treuils_Benne.instWinchStateProjection.InterlockM2.MotorRequest;PRG_06_Outputs.instWinchOutputInterlockM2.MotorRequest;M1_SpeedContactor_3_DQ;M2TreuilBenne.Bucket.State.BucketOpening_Pct;PRG_04_Treuils_Benne.Data.ArmingPermit;PRG_05_Translation.TranslationFinalInterlockRequest.ReqTremieSemantic;M3_CommandWord;M3_SetpointFrequencyHz;M3_BrakeRelease_RQ;IoHw.In.Hardware.Operator.JoyXRaw_ANA1;IoHw.In.Hardware.Operator.JoyYRaw_ANA2;M1TreuilRetenue.Safety.ErrorMecaB;M1TreuilRetenue.Safety.ErrorId;IoHw.In.Hardware.Winch.M1_ContactorsReleased_DI;IoHw.In.Hardware.Winch.M2_ContactorsReleased_DI;GVL_Troubleshooting.I_LevageUnitaireM1.Inputs_100.Idx104_BrakeApplied;IoHw.In.Hardware.Winch.M2_TensionedCable_DI;PRG_07_Supervision.instTroubleshootingView.WinchM2.Safety.ErrorId;PRG_02_Acquisition.instSimBench.MotorIsStalledM1;PRG_02_Acquisition.instSimBench.MotorIsStalledM2
5073;3;1;0;1;0;1;0;-100;8.5;21.150146484375;0;4;0;0;1;0;30;1;1;0;15.665690422058105;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
5173;3;1;0;1;0;1;0;-100;8.5;20.991943359375;0;4;0;0;1;0;30;1;1;0;16.720376968383789;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
5274;3;1;0;1;0;1;0;-100;8.5;20.816162109375;0;4;0;0;1;0;30;1;1;0;17.892251968383789;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
5373;3;1;0;1;0;1;0;-100;8.5;20.657958984375;0;4;0;0;1;0;30;1;1;0;18.946939468383789;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
5474;3;1;0;1;0;1;0;-100;8.5;20.482177734375;0;4;0;0;1;0;30;1;1;0;20.118814468383789;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
5573;3;1;0;1;0;1;0;-100;8.5;20.323974609375;0;4;0;0;1;0;30;1;1;0;21.173501968383789;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
5675;3;1;0;1;0;1;0;-100;8.5;20.148193359375;0;4;0;0;1;0;30;1;1;0;22.345376968383789;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
5774;3;1;0;1;0;1;0;-100;8.5;19.972412109375;0;4;0;0;1;0;30;1;1;0;23.517251968383789;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
5876;3;1;0;1;0;1;0;-100;8.5;19.814208984375;0;4;0;0;1;0;30;1;1;0;24.571939468383789;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
5976;3;1;0;1;0;1;0;-100;8.5;19.638427734375;0;4;0;0;1;0;30;1;1;0;25.743814468383789;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
6078;3;1;0;1;0;1;0;-100;8.5;19.480224609375;0;4;0;0;1;0;30;1;1;0;26.798501968383789;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
6177;3;1;0;1;0;1;0;-100;8.5;19.304443359375;0;4;0;0;1;0;30;1;1;0;27.970376968383789;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
6280;3;1;0;1;0;1;0;-100;8.5;19.128662109375;0;4;0;0;1;0;30;1;1;0;29.142251968383789;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
6379;3;1;0;1;0;1;0;-100;8.5;18.970458984375;0;4;0;0;1;0;30;1;1;0;30.196939468383789;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
6479;3;1;0;1;0;1;0;-100;8.5;18.794677734375;0;4;0;0;1;0;30;1;1;0;31.368814468383789;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
6579;3;1;0;1;0;1;0;-100;8.5;18.636474609375;0;4;0;0;1;0;30;1;1;0;32.423503875732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
6679;3;1;0;1;0;1;0;-100;8.5;18.460693359375;0;4;0;0;1;0;30;1;1;0;33.595378875732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
6780;3;1;0;1;0;1;0;-100;8.5;18.302490234375;0;4;0;0;1;0;30;1;1;0;34.650066375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
6880;3;1;0;1;0;1;0;-100;8.5;18.126708984375;0;4;0;0;1;0;30;1;1;0;35.821941375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
6982;3;1;0;1;0;1;0;-100;8.5;17.968505859375;0;4;0;0;1;0;30;1;1;0;36.876628875732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
7083;3;1;0;1;0;1;0;-100;8.5;17.792724609375;0;4;0;0;1;0;30;1;1;0;38.048503875732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
7183;3;1;0;1;0;1;0;-100;8.5;17.634521484375;0;4;0;0;1;0;30;1;1;0;39.103191375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
7284;3;1;0;1;0;1;0;-100;8.5;17.458740234375;0;4;0;0;1;0;30;1;1;0;40.275066375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
7384;3;1;0;1;0;1;0;-100;8.5;17.300537109375;0;4;0;0;1;0;30;1;1;0;41.329753875732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
7484;3;1;0;1;0;1;0;-100;8.5;17.142333984375;0;4;0;0;1;0;30;1;1;0;42.384441375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
7586;3;1;0;1;0;1;0;-100;8.5;16.966552734375;0;4;0;0;1;0;30;1;1;0;43.556316375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
7685;3;1;0;1;0;1;0;-100;8.5;16.808349609375;0;4;0;0;1;0;30;1;1;0;44.611003875732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
7785;3;1;0;1;0;1;0;-100;8.5;16.650146484375;0;4;0;0;1;0;30;1;1;0;45.665691375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
7885;3;1;0;1;0;1;0;-100;8.5;16.474365234375;0;4;0;0;1;0;30;1;1;0;46.837566375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
7986;3;1;0;1;0;1;0;-100;8.5;16.298583984375;0;4;0;0;1;0;30;1;1;0;48.009441375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
8087;3;1;0;1;0;1;0;-100;8.5;16.140380859375;0;4;0;0;1;0;30;1;1;0;49.064128875732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
8185;3;1;0;1;0;1;0;-100;8.5;15.982177734375;0;4;0;0;1;0;30;1;1;0;50.118816375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
8287;3;1;0;1;0;1;0;-100;8.5;15.806396484375;0;4;0;0;1;0;30;1;1;0;51.290691375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
8386;3;1;0;1;0;1;0;-100;8.5;15.648193359375;0;4;0;0;1;0;30;1;1;0;52.345378875732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
8487;3;1;0;1;0;1;0;-100;8.5;15.472412109375;0;4;0;0;1;0;30;1;1;0;53.517253875732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
8588;3;1;0;1;0;1;0;-100;8.5;15.314208984375;0;4;0;0;1;0;30;1;1;0;54.571941375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
8687;3;1;0;1;0;1;0;-100;8.5;15.138427734375;0;4;0;0;1;0;30;1;1;0;55.743816375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
8787;3;1;0;1;0;1;0;-100;8.5;14.980224609375;0;4;0;0;1;0;30;1;1;0;56.798503875732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
8887;3;1;0;1;0;1;0;-100;8.5;14.822021484375;0;4;0;0;1;0;30;1;1;0;57.853191375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
8988;3;1;0;1;0;1;0;-100;8.5;14.646240234375;0;4;0;0;1;0;30;1;1;0;59.025066375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
9091;3;1;0;1;0;1;0;-100;8.5;14.470458984375;0;4;0;0;1;0;30;1;1;0;60.196941375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
9191;3;1;0;1;0;1;0;-100;8.5;14.312255859375;0;4;0;0;1;0;30;1;1;0;61.251628875732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
9292;3;1;0;1;0;1;0;-100;8.5;14.154052734375;0;4;0;0;1;0;30;1;1;0;62.306316375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
9391;3;1;0;1;0;1;0;-100;8.5;13.978271484375;0;4;0;0;1;0;30;1;1;0;63.478191375732422;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
9492;3;1;0;1;0;1;0;-100;8.5;13.802490234375;0;4;0;0;1;0;30;1;1;0;64.650062561035156;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
9592;3;1;0;1;0;1;0;-100;8.5;13.644287109375;0;4;0;0;1;0;30;1;1;0;65.704750061035156;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
9697;3;1;0;1;0;1;0;-100;8.5;13.468505859375;0;4;0;0;1;0;30;1;1;0;66.876625061035156;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
9794;3;1;0;1;0;1;0;-100;8.5;13.310302734375;0;4;0;0;1;0;30;1;1;0;67.931312561035156;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
9895;3;1;0;1;0;1;0;-100;8.5;13.134521484375;0;4;0;0;1;0;30;1;1;0;69.103187561035156;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
9995;3;1;0;1;0;1;0;-100;8.5;12.976318359375;0;4;0;0;1;0;30;1;1;0;70.157875061035156;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
10096;3;1;0;1;0;1;0;-100;8.5;12.800537109375;0;4;0;0;1;0;30;1;1;0;71.329750061035156;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
10198;3;1;0;1;0;1;0;-100;8.5;12.624755859375;0;4;0;0;1;0;30;1;1;0;72.501625061035156;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
10298;3;1;0;1;0;1;0;-100;8.5;12.466552734375;0;4;0;0;1;0;30;1;1;0;73.556312561035156;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
10398;3;1;0;1;0;1;0;-100;8.5;12.290771484375;0;4;0;0;1;0;30;1;1;0;74.728187561035156;1;0;0;0;0;5000;0;0;0;1;0;1;1;0;0;0
