Timestamp_ms;M3_PosTremie_DI;M3_PosPVP2_DI;M3_PosPV_DI;M3_PosP1_DI;M3_PosMaintenance_DI;M3_BrakeIsOpen_DI;M3_ActualFrequencyHz;M3_StatusWord;M3_SetpointFrequencyHz;M3_CommandWord;M3_ThermalOK_DI;TranslationM3.Safety.Error;TranslationM3.Safety.ErrorId;TranslationM3.State.Error;TranslationM3.State.ErrorId
3037;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
3137;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
3237;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
3338;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
3437;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
3537;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
3637;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
3737;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
3837;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
3937;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
4037;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
4137;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
4237;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
4337;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
4437;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
4537;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
4637;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
4737;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
4837;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
4937;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
5037;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
5137;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
5237;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
5337;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
5437;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
5537;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
5638;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
